final_PTS,TS%,FTr,USG%,PER,avg_PTS,FGA,MP,ORtg,eFG%_2,Pace,Opponent_FG%,Range_0-3_Made,Range_3-10_Made,Range_10-16_Made,Range_16-3P_Made,3P_Made
2,0.457,0.117,12.2,6.9,3.0,2.8,13.5,116.1,0.54,101.6,0.453,0.651,0.421,0.398,0.421,0.355
2,0.457,0.117,12.2,6.9,2.7,2.2,12.2,116.1,0.54,101.6,0.453,0.651,0.421,0.398,0.421,0.355
2,0.457,0.117,12.2,6.9,3.4,3.5,15.2,116.1,0.54,101.6,0.453,0.651,0.421,0.398,0.421,0.355
4,0.505,0.168,11.3,7.2,3.0,2.8,13.5,116.1,0.54,101.6,0.492,0.733,0.475,0.462,0.392,0.373
4,0.505,0.168,11.3,7.2,2.7,2.2,12.2,116.1,0.54,101.6,0.492,0.733,0.475,0.462,0.392,0.373
4,0.505,0.168,11.3,7.2,3.4,3.5,15.2,116.1,0.54,101.6,0.492,0.733,0.475,0.462,0.392,0.373
4,0.558,0.227,10.4,7.5,3.0,2.8,13.5,116.1,0.54,101.6,0.492,0.733,0.475,0.462,0.392,0.373
4,0.558,0.227,10.4,7.5,2.7,2.2,12.2,116.1,0.54,101.6,0.492,0.733,0.475,0.462,0.392,0.373
4,0.558,0.227,10.4,7.5,3.4,3.5,15.2,116.1,0.54,101.6,0.492,0.733,0.475,0.462,0.392,0.373
4,0.457,0.117,12.2,6.9,3.0,2.8,13.5,116.1,0.54,101.6,0.492,0.733,0.475,0.462,0.392,0.373
4,0.457,0.117,12.2,6.9,2.7,2.2,12.2,116.1,0.54,101.6,0.492,0.733,0.475,0.462,0.392,0.373
4,0.457,0.117,12.2,6.9,3.4,3.5,15.2,116.1,0.54,101.6,0.492,0.733,0.475,0.462,0.392,0.373
0,0.505,0.168,11.3,7.2,3.0,2.8,13.5,116.1,0.54,101.6,0.469,0.711,0.451,0.461,0.439,0.344
0,0.505,0.168,11.3,7.2,2.7,2.2,12.2,116.1,0.54,101.6,0.469,0.711,0.451,0.461,0.439,0.344
0,0.505,0.168,11.3,7.2,3.4,3.5,15.2,116.1,0.54,101.6,0.469,0.711,0.451,0.461,0.439,0.344
0,0.558,0.227,10.4,7.5,3.0,2.8,13.5,116.1,0.54,101.6,0.469,0.711,0.451,0.461,0.439,0.344
0,0.558,0.227,10.4,7.5,2.7,2.2,12.2,116.1,0.54,101.6,0.469,0.711,0.451,0.461,0.439,0.344
0,0.558,0.227,10.4,7.5,3.4,3.5,15.2,116.1,0.54,101.6,0.469,0.711,0.451,0.461,0.439,0.344
0,0.457,0.117,12.2,6.9,3.0,2.8,13.5,116.1,0.54,101.6,0.469,0.711,0.451,0.461,0.439,0.344
0,0.457,0.117,12.2,6.9,2.7,2.2,12.2,116.1,0.54,101.6,0.469,0.711,0.451,0.461,0.439,0.344
0,0.457,0.117,12.2,6.9,3.4,3.5,15.2,116.1,0.54,101.6,0.469,0.711,0.451,0.461,0.439,0.344
8,0.505,0.168,11.3,7.2,3.0,2.8,13.5,116.1,0.54,101.6,0.472,0.749,0.468,0.407,0.416,0.339
8,0.505,0.168,11.3,7.2,2.7,2.2,12.2,116.1,0.54,101.6,0.472,0.749,0.468,0.407,0.416,0.339
8,0.505,0.168,11.3,7.2,3.4,3.5,15.2,116.1,0.54,101.6,0.472,0.749,0.468,0.407,0.416,0.339
8,0.558,0.227,10.4,7.5,3.0,2.8,13.5,116.1,0.54,101.6,0.472,0.749,0.468,0.407,0.416,0.339
8,0.558,0.227,10.4,7.5,2.7,2.2,12.2,116.1,0.54,101.6,0.472,0.749,0.468,0.407,0.416,0.339
8,0.558,0.227,10.4,7.5,3.4,3.5,15.2,116.1,0.54,101.6,0.472,0.749,0.468,0.407,0.416,0.339
8,0.457,0.117,12.2,6.9,3.0,2.8,13.5,116.1,0.54,101.6,0.472,0.749,0.468,0.407,0.416,0.339
8,0.457,0.117,12.2,6.9,2.7,2.2,12.2,116.1,0.54,101.6,0.472,0.749,0.468,0.407,0.416,0.339
8,0.457,0.117,12.2,6.9,3.4,3.5,15.2,116.1,0.54,101.6,0.472,0.749,0.468,0.407,0.416,0.339
